,team,GP,GF,xG,xGOT,Finish_qual,BigCh,BigCh_missed,SoT,Shots,BoxShots,Corners,Pens_won,FastBrk_G,FK_goals,Headed_G,Woodwork,xG/g
1,Brighton,4,13,10.17,10.52,0.35,19,11,24,78,53,22,1,0,0,3,2,2.54
2,Man Utd,4,7,8.24,6.51,-1.74,13,8,22,84,46,23,1,2,0,1,4,2.06
3,Man City,4,8,7.58,8.11,0.54,14,8,21,52,40,25,0,0,0,3,2,1.9
4,Brentford,4,7,7.25,5.23,-2.02,13,7,17,68,50,18,1,0,0,1,1,1.81
5,Arsenal,4,8,6.85,7.14,0.29,10,6,22,54,36,19,1,2,0,0,0,1.71
6,Liverpool,4,6,6.69,7.83,1.14,8,6,21,64,38,17,1,0,0,0,0,1.67
7,Chelsea,4,10,6.46,6.71,0.24,12,5,24,60,39,21,0,3,0,0,1,1.62
8,Ipswich Town,4,7,6.29,8.7,2.41,9,3,19,45,26,14,0,1,0,2,1,1.57
9,Sunderland,4,3,6.2,4.23,-1.97,12,10,16,49,31,15,2,0,1,0,3,1.55
10,Nott'm Forest,4,4,6.16,3.96,-2.2,12,9,14,58,36,11,1,0,0,0,3,1.54
11,Fulham,4,4,6.12,3.39,-2.73,7,5,16,60,44,25,0,1,0,1,0,1.53
12,Bournemouth,4,6,5.92,7.24,1.32,13,11,24,59,36,18,0,1,0,0,2,1.48
13,Leeds,3,3,4.42,3.6,-0.81,6,4,10,33,22,13,0,0,1,0,1,1.47
14,Crystal Palace,4,6,5.21,4.06,-1.15,14,11,14,41,30,9,0,1,0,0,3,1.3
15,Everton,4,5,5.08,4.83,-0.25,7,6,21,59,41,21,0,0,0,1,0,1.27
16,Coventry City,4,0,4.2,5.05,0.85,6,6,13,41,28,18,0,0,0,0,0,1.05
17,Newcastle,3,6,3.01,3.92,0.91,5,3,8,32,18,13,0,2,0,0,0,1.0
18,Hull City,4,5,3.68,4.16,0.48,9,5,15,39,20,10,0,1,0,1,3,0.92
19,Spurs,4,0,3.45,1.76,-1.68,7,7,12,51,30,27,0,0,0,0,0,0.86
20,Aston Villa,4,1,3.37,1.36,-2.01,4,3,6,33,21,14,0,0,0,1,2,0.84
